Team,Contitent,Span,Started,Format,Mat,Won,Lost,Tied,Tie+W,Tie+L,NR,%
East Africa,Africa,1975-1975,1975,ODI,3,0,3,0,,,0,0
England,Europe,1971-2023,1971,ODI,779,392,348,9,,,30,52.93
Hong Kong,Asia,2004-2018,2004,ODI,26,9,16,0,,,1,36
India,Asia,1974-2023,1974,ODI,1029,539,438,9,,,43,55.12
Ireland,Europe,2006-2023,2006,ODI,185,75,95,3,,,12,44.21
Jersey,British Overseas,2023-2023,2023,ODI,3,1,2,0,,,0,33.33
Kenya,Africa,1996-2014,1996,ODI,154,42,107,0,,,5,28.18
Namibia,Africa,2003-2023,2003,ODI,47,22,24,0,,,1,47.82
Nepal,Asia,2018-2023,2018,ODI,49,26,21,1,,,1,55.2
Netherlands,Europe,1996-2023,1996,ODI,106,35,66,1,,,4,34.8
New Zealand,Oceania,1973-2023,1973,ODI,799,368,382,7,,,42,49.07
Oman,Asia,2019-2022,2019,ODI,37,21,14,1,,,1,59.72
Pakistan,Asia,1973-2023,1973,ODI,948,499,420,9,,,20,54.25
Papua New Guinea,Oceania,2014-2023,2014,ODI,65,14,50,1,,,0,22.3
Scotland,Europe,1999-2023,1999,ODI,146,63,75,1,,,7,45.68
South Africa,Africa,1991-2023,1991,ODI,654,399,228,6,,,21,63.5
Sri Lanka,Asia,1975-2023,1975,ODI,883,399,440,5,,,39,47.57
United Arab Emirates,Asia,1994-2023,1994,ODI,96,34,61,1,,,0,35.93
United States of America,North America,2004-2023,2004,ODI,44,21,21,2,,,0,50
West Indies,North America,1973-2023,1973,ODI,854,411,403,10,,,30,50.48
Zimbabwe,Africa,1983-2023,1983,ODI,559,146,392,8,,,13,27.47
Afghanistan,Asia,2018-2021,2018,Test,6,3,3,0,,,,50
Australia,Oceania,1877-2023,1877,Test,853,405,229,2,,,,47.47
Bangladesh,Asia,2000-2022,2000,Test,136,16,102,0,,,,11.76
England,Europe,1877-2023,1877,Test,1060,388,318,0,,,,36.6
India,Asia,1932-2023,1932,Test,569,172,175,1,,,,30.22
Ireland,Europe,2018-2019,2018,Test,3,0,3,0,,,,0
New Zealand,Oceania,1930-2023,1930,Test,464,112,182,0,,,,24.13
Pakistan,Asia,1952-2023,1952,Test,451,146,139,0,,,,32.37
South Africa,Africa,1889-2023,1889,Test,460,177,158,0,,,,38.47
Sri Lanka,Asia,1982-2023,1982,Test,309,98,119,0,,,,31.71
West Indies,North America,1928-2023,1928,Test,571,182,208,1,,,,31.87
,,,,,,,,,,,,11.11
